"100,00%","97,00%",1,1,t,t,Copacabana,2,1.5 ,1,1,$260.00,3,15,3,6,10,15,3.1,14.8,t,2,3,8,58,378,32,2,4.89,4.87,f,1,1,0,2.76,,,,,,,,
"100,00%","80,00%",9,9,t,t,Ipanema,13,15,6,7,"$4,217.00",2,89,2,6,89,89,2.6,89.0,t,12,36,59,325,91,17,2,4.61,4.45,t,9,9,0,0.69,,,,,,,,
"100,00%","100,00%",2,2,t,t,Copacabana,1,1,1,1,$114.00,3,30,3,3,1125,1125,3.0,1125.0,t,1,4,26,26,42,0,0,4.88,4.93,f,2,1,1,0.83,,,,,,,,
"100,00%","100,00%",3,3,t,t,Copacabana,9,3,4,5,"$2,015.00",2,750,2,2,750,750,2.0,750.0,t,5,5,5,5,8,4,1,4.43,4.29,f,2,2,0,0.10,,,,,,,,
"98,00%","98,00%",48,48,t,t,Copacabana,3,1,1,1,$380.00,3,90,3,3,1125,1125,3.0,1125.0,t,1,5,12,161,106,18,1,4.74,4.63,t,36,36,0,0.96,,,,,,,,
"100,00%","80,00%",9,9,t,t,Ipanema,6,3,3,3,"$2,310.00",2,89,2,6,89,89,2.7,89.0,t,15,39,62,330,74,1,0,4.46,4.56,f,9,9,0,0.58,,,,,,,,
N/A,N/A,2,2,f,f,Barra da Tijuca,14,7,6,10,"$3,050.00",1,730,1,1,730,730,1.0,730.0,t,23,53,79,354,7,0,0,4.57,4.57,f,2,1,1,0.09,,,,,,,,
"100,00%","100,00%",2,2,t,t,Copacabana,2,1,,1,$693.00,3,1125,1,7,1125,1125,3.1,1125.0,t,6,35,58,321,188,26,4,4.74,4.6,t,2,2,0,1.65,,,,,,,,
"100,00%","70,00%",1,1,t,t,Joá,10,4,4,6,"$2,513.00",2,365,2,6,365,365,2.4,365.0,t,11,41,71,346,16,3,0,5.0,4.67,f,1,1,0,0.13,,,,,,,,
"100,00%","95,00%",1,1,t,t,Ipanema,6,2.5 ,3,3,"$1,157.00",3,1125,3,6,1125,1125,3.3,1125.0,t,7,28,50,58,28,16,0,4.85,4.46,f,1,1,0,0.21,,,,,,,,
"100,00%","80,00%",9,9,t,t,Ipanema,6,7,3,7,"$3,325.00",2,89,2,6,89,89,2.7,89.0,t,16,40,63,331,67,4,0,4.36,4.23,f,9,9,0,0.51,,,,,,,,
"0,00%","0,00%",2,2,t,t,Flamengo,4,2,3,4,$220.00,4,1125,1,4,1125,1125,4.0,1125.0,t,22,27,46,321,1,0,0,4.0,5.0,f,1,1,0,0.02,,,,,,,,
"100,00%","100,00%",3,3,t,t,Copacabana,2,1,,1,$380.00,3,89,3,3,1125,1125,3.0,1125.0,t,1,6,22,231,226,23,2,4.9,4.79,t,2,2,0,1.72,,,,,,,,
"100,00%",N/A,1,1,t,f,Copacabana,2,1,1,1,$221.00,4,365,4,4,365,365,4.0,365.0,t,18,48,77,77,79,0,0,4.64,4.74,f,1,0,1,0.59,,,,,,,,
"100,00%","99,00%",5,5,t,t,Ipanema,6,2,1,5,$786.00,2,420,1,4,1125,1125,2.2,1125.0,t,2,30,52,220,422,50,5,4.77,4.67,t,6,6,0,3.48,,,,,,,,
"100,00%","0,00%",1,1,t,t,Ipanema,2,1,1,1,$851.00,5,120,5,5,120,120,5.0,120.0,t,6,6,30,210,14,0,0,4.86,4.62,f,1,1,0,0.13,,,,,,,,
"100,00%","100,00%",0,0,t,t,Copacabana,12,4,4,8,"$3,149.00",2,365,2,6,1125,1125,2.3,1125.0,t,18,39,58,221,127,2,0,4.3,4.2,t,1,1,0,1.00,,,,,,,,
"100,00%","60,00%",7,7,t,t,Santa Teresa,16,5,7,10,$225.00,7,90,7,7,90,90,7.0,90.0,t,0,0,0,269,215,2,0,4.78,4.76,f,6,0,6,1.79,,,,,,,,
"100,00%","88,00%",8,8,t,t,Gávea,4,1,1,2,$373.00,5,89,5,7,89,89,6.7,89.0,t,0,0,0,0,37,2,0,4.7,4.62,f,1,1,0,0.34,,,,,,,,
"100,00%","100,00%",2,2,t,t,Santa Teresa,2,2,1,1,$243.00,2,60,2,2,1125,1125,2.0,1125.0,t,25,55,85,360,14,0,0,4.75,4.0,t,2,0,2,0.13,,,,,,,,
"92,00%","99,00%",7,7,t,t,Leblon,5,1,1,3,$690.00,2,90,2,7,90,1125,2.6,832.3,t,3,6,28,34,92,11,2,4.59,4.28,t,6,6,0,0.73,,,,,,,,
"100,00%","92,00%",10,10,t,t,Copacabana,2,,1,1,$500.00,5,30,1,5,30,30,5.0,30.0,t,3,5,13,288,7,7,1,4.57,4.86,f,4,4,0,1.54,,,,,,,,
N/A,N/A,1,1,t,t,Jacarepaguá,2,2,1,2,$851.00,1,90,1,1,90,90,1.0,90.0,t,30,60,90,365,0,0,0,,,f,1,0,1,,,,,,,,,
"100,00%","94,00%",3,3,t,t,Ipanema,3,1,1,1,$293.00,2,1125,2,5,1125,1125,2.2,1125.0,t,10,38,38,45,32,17,1,4.44,4.53,f,1,1,0,0.61,,,,,,,,
"92,00%","99,00%",7,7,t,t,Copacabana,4,1,1,2,$460.00,2,89,2,7,90,1125,2.6,153.2,t,3,15,37,279,71,6,1,4.62,4.59,t,6,6,0,0.57,,,,,,,,
